"Case","Buggy Rule","Ncf","Nuf","Ncs","Nus","Nc","Nu","Ns","Nf","Mountford","Kulcynski2","Zoltar","Ochiai","CC","RC","RCR","Constraint","Rule","Mutant"
"21","1","29.0","0.0","71.0","0.0","29.0","0.0","71.0","29.0","0.028169014084507043","0.645","0.29","0.5385164807134504","0.3333333333333333","0.4","0.2222222222222222","3","Package","Mutant15"
"21","0","4.0","25.0","0.0","71.0","4.0","25.0","71.0","29.0","0.08","0.5689655172413793","0.13793103448275862","0.3713906763541037","0.6666666666666666","0.5333333333333333","0.42105263157894735","3","StrongReferences","Mutant15"
"22","0","3.0","10.0","0.0","87.0","3.0","10.0","87.0","13.0","0.2","0.6153846153846154","0.23076923076923078","0.48038446141526137","1.0","0.13333333333333333","0.13333333333333333","4","WeakReferences","Mutant15"
"22","1","13.0","0.0","0.0","87.0","13.0","0.0","87.0","13.0","1.0","1.0","1.0","1.0","1.0","0.15384615384615385","0.15384615384615385","4","Attributes","Mutant15"
"22","0","13.0","0.0","16.0","71.0","13.0","0.0","87.0","13.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","1.0","0.2","0.2","4","Class","Mutant15"
"22","1","13.0","0.0","87.0","0.0","13.0","0.0","87.0","13.0","0.022988505747126436","0.565","0.13","0.36055512754639896","1.0","0.2","0.2","4","Package","Mutant15"
"22","0","4.0","9.0","0.0","87.0","4.0","9.0","87.0","13.0","0.2222222222222222","0.6538461538461539","0.3076923076923077","0.5547001962252291","1.0","0.13333333333333333","0.13333333333333333","4","StrongReferences","Mutant15"
"23","0","3.0","26.0","0.0","71.0","3.0","26.0","71.0","29.0","0.07692307692307693","0.5517241379310345","0.10344827586206896","0.3216337604513384","0.6071428571428571","0.5666666666666667","0.40476190476190477","8","WeakReferences","Mutant15"
"23","1","13.0","16.0","0.0","71.0","13.0","16.0","71.0","29.0","0.125","0.7241379310344828","0.4482758620689655","0.6695340634119862","0.7142857142857143","0.7692307692307693","0.5882352941176471","8","Attributes","Mutant15"
"23","0","29.0","0.0","0.0","71.0","29.0","0.0","71.0","29.0","1.0","1.0","1.0","1.0","0.5714285714285714","0.8","0.5","8","Class","Mutant15"
